"id";"es_clon";"division";"eval_instructor";"eval_capitan";"eval_comandante";"eval_general";"estatura";"peso";"imc";"velocidad";"fuerza";"resistencia";"agilidad";"armadura";"presicion";"eficiencia"
26;"S";"Cavetrooper";655,68;649,73;648,18;658,72;194,84;91,37;24,07;76,7;71,83;83,47;84,97;59,53;63,46;12,57
27;"S";"Cavetrooper";660,22;647,27;642,91;648,86;194,85;101,7;26,79;72,11;71,55;83,69;78,22;39,25;45,69;48,14
28;"S";"Cavetrooper";662,27;651,84;651,12;655,92;195,17;94,27;24,75;76,42;71,5;86,74;89,19;46,08;54,26;43,17
29;"S";"Cavetrooper";652,29;646,16;655,89;650,57;194,9;108,51;28,57;78,3;71,43;79,01;87,25;31,19;53,47;50,87
30;"N";"Cavetrooper";645,68;643,27;654,05;646,46;194,9;98,79;26,01;62,8;69,51;86,15;81;49,11;61,76;8,48
31;"S";"Cavetrooper";656,35;651,01;657,16;651,65;194,89;85,25;22,44;83,77;68,4;83,02;84,07;46,97;54,13;80,71
32;"S";"Cavetrooper";656,92;649,34;651,55;648,31;195;114,44;30,1;72,39;67,91;86,74;77,74;48,18;61,85;55,89
33;"N";"Cavetrooper";650,57;653,74;659,09;649,52;194,91;93,57;24,63;62,66;68,46;80,04;75,66;39,92;58,53;84,36
34;"N";"Cavetrooper";663,4;646,9;650,19;653,39;195,15;104,38;27,41;66,14;69,51;84,33;85,98;52,71;64,53;13,73
35;"N";"Cavetrooper";661,25;653,67;646,43;649,06;195,08;91,84;24,13;65,82;71,15;85,27;92,19;46,42;51,43;87,6
36;"N";"Cavetrooper";655,07;645,18;637,57;646,41;195,24;96,57;25,33;66,91;68,34;84,03;80,26;54,32;56,54;85,01
37;"N";"Cavetrooper";660,49;655,84;651,18;644,92;194,97;90,36;23,77;70,21;68,61;85,5;89,46;48,5;53,67;64,69
38;"S";"Cavetrooper";659,36;646,58;641,88;650,73;195,03;91,69;24,11;79,72;69,96;79,66;75,53;36,05;47,14;70,03
39;"N";"Cavetrooper";653,36;646,71;643,44;648,52;195,07;102,18;26,85;68,17;70,43;82,85;86,05;54,01;48,11;83,59
40;"S";"Cavetrooper";655,1;654,6;658,03;652,5;195,12;89,11;23,41;87,22;67,56;84,56;88,7;45,35;52,81;47,9
41;"S";"Cavetrooper";664,27;647,71;654,06;654,33;194,94;93,13;24,51;75,92;69,57;84,37;88,31;48,31;56,69;82,84
42;"N";"Cavetrooper";654,55;642,29;648,49;646,11;195,16;96,02;25,21;70,79;71,02;81,32;93,19;46,17;45,21;94,93
43;"S";"Cavetrooper";656,51;648,76;656,92;655,09;194,93;97,24;25,59;81,93;69,91;86,85;81,88;54,96;50,51;61,44
44;"S";"Cavetrooper";658,89;658,33;658,86;652,46;194,79;110,43;29,1;78,44;71,6;82,13;85,38;40,73;68,9;62,4
45;"S";"Cavetrooper";654,79;646,06;652,9;646,82;194,89;85,5;22,51;70,95;67,26;86,18;93,05;44,94;53,43;39,48
46;"S";"Cavetrooper";666,32;657,93;646,84;646,2;194,9;115,1;30,3;72,85;70,61;85,56;75,49;53,82;68,49;84,68
47;"S";"Cavetrooper";662,84;650,39;648,65;646,01;194,79;94,03;24,78;78,19;71,87;81,19;77,69;53,54;59,97;20,8
48;"S";"Cavetrooper";666,19;655,33;646,82;659,44;194,94;98,76;25,99;78,02;70,92;85,03;80,74;63,06;63,94;78,39
49;"S";"Cavetrooper";652,89;657,68;652,99;657;195,03;107,26;28,2;79,5;69,36;80,91;92,99;45,06;48,28;68,53
50;"N";"Cavetrooper";656,72;647,29;653,92;647,51;194,97;100,05;26,32;58,24;70,4;84,72;83,12;56,71;58,35;88,36
51;"N";"Cavetrooper";655,24;651,9;651,54;647,42;194,94;89,7;23,6;62,13;71,31;83,39;75,37;56,58;66,6;97,77
52;"N";"Cavetrooper";664,4;643,73;653,96;657,13;195,24;88,88;23,32;61,42;71,37;79,86;91,03;54,64;49;60,39
53;"N";"Cavetrooper";662,82;650,26;654,29;640,91;194,77;89,28;23,53;72,43;69,8;83,45;87,44;51,67;50,88;51,04
54;"S";"Cavetrooper";660,73;662,21;663,28;648,87;194,7;105,34;27,79;82,86;70,37;84,8;77,92;53,76;48,29;81,79
55;"S";"Cavetrooper";648,06;651,73;647,57;653,48;195,04;105,9;27,84;83,38;68,15;80,4;88,87;48,93;50,48;95,08
56;"S";"Cavetrooper";659,43;652,27;645,47;650,9;194,84;102,37;26,97;70,53;67,84;85,91;76,06;58,03;50,84;31,89
57;"N";"Cavetrooper";658,4;639,82;644,76;648,04;195,16;104,17;27,35;62,01;67,74;81,61;85,12;47,57;59,71;81,2
58;"S";"Cavetrooper";657,07;649,01;644,98;641,12;195,12;84,61;22,22;78,74;67,53;80,9;91,64;59,95;58,18;10,88
59;"S";"Cavetrooper";661,69;652,02;645,68;655,67;194,93;101,98;26,84;78,59;68,07;80,57;92,17;62,52;53,87;48,35
60;"N";"Cavetrooper";659,2;653,42;651,32;645,85;194,96;94,26;24,8;59,06;68,19;86,34;85,74;64,55;52,44;49,45
61;"N";"Cavetrooper";674,23;650,43;647,76;649,39;194,88;100,35;26,42;60,99;71,68;86,45;85,63;45,63;61,55;33,94
62;"S";"Cavetrooper";673,61;648,89;654,01;656,47;194,83;93,54;24,64;79,72;68,71;85,77;77,07;62,56;50,28;67,81
63;"S";"Cavetrooper";664,67;647,45;645,54;647,29;194,96;96,41;25,36;84,08;70,24;79,91;77,86;54,74;57,12;95,13
64;"N";"Cavetrooper";656,2;649,75;637,19;645,54;194,91;101,19;26,64;73,55;69,82;80,32;82,02;52,85;64,49;55,55
65;"S";"Cavetrooper";655,16;656,78;653,12;653,78;195,17;108,34;28,44;75,97;71,89;79,49;78,57;38,21;46,28;45,94
66;"S";"Cavetrooper";661,42;649,94;648,53;650,83;195,09;83,06;21,82;88,81;68,52;80,57;92,36;48,59;52,97;87,19
67;"S";"Cavetrooper";661,47;661,68;647,8;649,1;195,02;87,56;23,02;80,12;67,12;80,75;76,66;46,26;65,51;21,23
68;"S";"Cavetrooper";658,35;650,43;646,34;655,48;195,21;96,51;25,33;73,51;70,91;84,02;77,48;62,29;53,73;63,82
69;"N";"Cavetrooper";657,07;650,47;653,36;637,92;195,21;97,85;25,68;73,2;71,67;81,05;90,28;48,46;51,22;74,08
70;"N";"Cavetrooper";660,7;649,71;643,48;648,61;194,76;91,85;24,21;67,27;67,03;80,96;91,76;44,29;56,36;62,97
71;"S";"Cavetrooper";649,1;650,63;657,37;641,59;195,02;100,53;26,43;81,97;71,59;85,74;93,15;53,74;52,44;55,75
72;"S";"Cavetrooper";657,04;648,15;651,5;641,44;194,85;104,98;27,65;81,04;70,84;81,28;75,53;50,94;53,06;6,49
73;"S";"Cavetrooper";661,08;658;651,73;658,39;195,07;100,62;26,44;73,51;70,73;81,34;81,43;53,18;60,83;97,3
74;"S";"Cavetrooper";665,04;657,71;654,07;653,19;195;100,19;26,35;67,74;67,5;85,54;78,12;31,61;42;52,77
75;"N";"Cavetrooper";674,54;657,39;653,73;651,59;195,24;107,88;28,3;69,66;67,6;80,82;88,75;40,26;55,64;53,77
76;"S";"Cavetrooper";658,69;650,31;644,2;646,24;195;92,8;24,4;76,21;67,63;79;89,23;61,53;51,33;66,79
77;"N";"Cavetrooper";645,7;655,41;651,7;657,1;194,99;105,21;27,67;59,54;67,27;84,29;76,25;43,68;62,14;19,56
78;"N";"Cavetrooper";658,67;653,65;642,3;651,36;195,12;94,08;24,71;67,42;67,35;83,35;80,88;50,04;66,49;95,4
79;"N";"Cavetrooper";655,25;649,23;648,71;654,95;195,05;89,42;23,5;58,97;69,53;79,88;76,61;39,32;50,77;72,24
80;"N";"Cavetrooper";666,08;651,74;647,29;646,46;195,16;103,77;27,25;58,18;71,64;84,35;75;44,69;53,32;27,32
81;"S";"Cavetrooper";658,63;652,48;648,78;652,43;195,1;98,17;25,79;81,95;70,27;85,98;76,95;62,16;50,84;35,43
82;"S";"Cavetrooper";655,07;650,61;653,5;653,02;194,9;97,03;25,54;85,24;68,33;83,39;86,35;46,14;53,72;38,59
83;"S";"Cavetrooper";654,25;654,38;644,85;650,59;195,19;102,22;26,83;78,93;70,75;82,3;93,7;54,11;56,48;22,85
84;"N";"Cavetrooper";649,4;654,05;650,88;646,53;194,99;95,4;25,09;60,48;69,33;79,68;86,17;37,77;58,82;90,93
85;"N";"Cavetrooper";655,41;643,79;647,99;650,19;194,86;94,64;24,92;71,31;69;83,57;85,06;58,53;48,63;24,38
86;"S";"Cavetrooper";656,27;648,17;648,63;644,32;194,9;104,42;27,49;86,35;70,51;85,12;80,27;43,81;58,67;56,4
87;"S";"Cavetrooper";665,82;655,25;650,66;647,29;195,01;110,35;29,02;85,27;71,67;84,04;91,1;49,9;60,78;14,52
88;"N";"Cavetrooper";662,18;648,43;652,68;646,89;194,94;83,81;22,05;65,2;69,13;84,16;89,03;53,28;63,46;95,27
89;"N";"Cavetrooper";658,45;643,85;652,03;652,2;195,03;96,18;25,29;64,37;69,42;84,26;85,2;53,65;61,21;96,38
90;"S";"Cavetrooper";657,22;646,71;643,47;652,96;195,06;105,95;27,85;82,76;68,08;79,72;78,63;46,34;54,53;75,16
91;"N";"Cavetrooper";657,49;657;647,22;649,4;194,87;101,94;26,84;68,33;67,68;80,84;81,49;46,9;54,83;95,73
92;"N";"Cavetrooper";670,7;657,11;650,31;641,86;195,22;97,73;25,64;66,19;69,45;86,88;80,34;43,52;58,25;23,75
93;"S";"Cavetrooper";659,09;635,39;647,93;648,91;195,02;89,94;23,65;80,87;68;84,21;84,33;54,42;53,39;41,21
94;"N";"Cavetrooper";660,96;642,42;652,19;653,44;195,19;94,8;24,88;66,23;71,18;84,29;87,57;46,74;50,48;34,67
95;"N";"Cavetrooper";660,63;647,72;647;655,14;195,04;92,43;24,3;58,69;68,76;81,94;85,22;55,12;52,65;71,8
96;"N";"Cavetrooper";666,38;646,22;651,99;657,01;194,98;91;23,94;61,57;71,11;79,63;81,07;37,56;55,93;5,92
97;"N";"Cavetrooper";661,33;652,13;645,86;649,03;195,05;109,28;28,72;67,32;67,78;79,95;93,27;50,56;56,52;64,69
98;"S";"Cavetrooper";665,98;640,61;651,45;647,48;195,24;102,54;26,9;78,32;68,17;86,9;82,45;50,93;50,56;26,31
99;"N";"Cavetrooper";652,33;650,92;659,44;648,31;195,09;102,22;26,86;59,91;70,33;82,32;92,67;31,19;47,35;44,37
100;"N";"Cavetrooper";654,19;647,92;649,98;639,54;194,94;93,84;24,69;60,12;69,71;80,16;91,72;45,09;42,87;62,4
101;"N";"Snowtrooper";657,12;658,04;654,13;646,48;195,03;96,82;25,45;68,06;70,41;83,66;89,01;36,19;55,32;65,31
102;"N";"Snowtrooper";640,23;663,91;659,25;653,46;195,03;92,34;24,28;67,44;68,69;79,24;81,86;60,92;54,2;13,46
103;"S";"Snowtrooper";651,72;650,04;645,79;647,9;194,99;101,84;26,79;79,82;67,16;83,96;93,71;49,06;48,71;27,99
104;"S";"Snowtrooper";646,98;661,92;659,66;646,74;195,06;102,91;27,05;76,74;69,97;80,19;84,58;60,08;46,03;75,36
105;"S";"Snowtrooper";651,79;654,62;646,87;645,41;194,85;108,19;28,5;88,69;68,31;79,63;89,53;53,34;57,61;43,56
106;"N";"Snowtrooper";639,81;657,44;648,9;650,9;194,83;101,25;26,67;65,34;71;82,92;76,11;51,16;53,96;77,82
107;"S";"Snowtrooper";647,2;653,09;654,18;647,94;194,79;78,36;20,65;87,25;67,9;79,16;77,41;45,71;43,04;95,01
108;"N";"Snowtrooper";655,36;653,46;649,3;650,35;195,05;91,17;23,96;64,93;70,65;85,26;79,24;37,9;48,93;5,7
109;"N";"Snowtrooper";650,11;669,21;649,23;650,51;195,19;83,27;21,86;73,56;71,39;85,93;93,82;46,78;62,74;95,5
110;"N";"Snowtrooper";642,98;662,36;653,41;653,94;194,84;90,52;23,84;63,71;69,91;85,72;82,51;39,05;54,37;54,25
111;"N";"Snowtrooper";649,58;661,14;653,19;661,27;195,02;91,54;24,07;67,3;67,74;86,46;93,47;44,69;50,3;68,06
112;"S";"Snowtrooper";651,95;660,48;655,54;650,63;195,09;92,3;24,25;74,38;67,61;83,96;82,58;48,33;55,81;93,99
113;"S";"Snowtrooper";656,47;659,18;651,13;644,52;195,1;88,05;23,13;71,66;67,06;82,22;80,66;54,52;66,44;73,59
114;"N";"Snowtrooper";658,36;667,99;649,98;651,8;194,97;92,57;24,35;66,7;68,28;86,3;88,98;47,16;60,39;93,48
115;"N";"Snowtrooper";647,65;672,5;648,21;653,47;194,94;98,03;25,8;68,04;71,97;82,87;79,01;47,09;54,1;26,63
116;"N";"Snowtrooper";648,01;661,61;651,83;645,61;195,14;92,04;24,17;61,74;70,29;80,63;87,59;52,69;57,41;49,39
117;"N";"Snowtrooper";645,39;661,42;644,21;641,68;195,05;101,65;26,72;62,56;69,33;85,84;85,72;58,35;48,03;68,05
118;"N";"Snowtrooper";648,7;664,77;650,93;650,54;194,94;95,01;25;73,54;68,79;82,12;92,79;46,11;51,31;39,65
119;"S";"Snowtrooper";650,67;655,7;645,96;653,79;195,06;95,31;25,05;86,38;69,84;80,8;89,64;40,3;58,93;55,75
120;"S";"Snowtrooper";653,35;660,19;651,64;660,61;194,9;88,96;23,42;72,3;70,34;86,15;78,54;50,65;59,89;33,56
121;"S";"Snowtrooper";654,58;669,89;647,66;644,63;194,88;93,23;24,55;86,62;67,34;83,66;86,98;47,02;55,76;16,11
122;"S";"Snowtrooper";654,53;660,98;648,18;647,6;194,97;105,99;27,88;76,22;69,57;82,06;92,71;48,16;56,22;67,95
123;"N";"Snowtrooper";657,92;652,59;659,04;657,46;195,02;89,85;23,62;65,05;68,67;80,95;91,15;52,28;52,4;66,9
124;"S";"Snowtrooper";648,64;671,96;646,92;649,92;194,83;96,43;25,4;81,1;71,69;85,28;76,49;53,91;47,09;44,75
125;"N";"Snowtrooper";647,51;659,07;652,06;653,1;194,99;96,61;25,41;64,14;67,84;79,71;87,68;52,35;58,42;64,35
126;"S";"Snowtrooper";646,98;666,53;660,81;656,72;194,84;91,37;24,07;76,7;71,83;83,47;84,97;59,53;63,46;12,57
127;"S";"Snowtrooper";655,8;647,5;645,2;645,66;194,85;101,7;26,79;72,11;71,55;83,69;78,22;39,25;45,69;48,14
128;"S";"Snowtrooper";658,82;667,35;648,89;655,05;195,17;94,27;24,75;76,42;71,5;86,74;89,19;46,08;54,26;43,17
129;"S";"Snowtrooper";655,75;660,85;657,19;648,02;194,9;108,51;28,57;78,3;71,43;79,01;87,25;31,19;53,47;50,87
130;"N";"Snowtrooper";638,76;657,79;642,56;650,93;194,9;98,79;26,01;62,8;69,51;86,15;81;49,11;61,76;8,48
131;"S";"Snowtrooper";650,84;653,75;648,91;646,11;194,89;85,25;22,44;83,77;68,4;83,02;84,07;46,97;54,13;80,71
132;"S";"Snowtrooper";650,27;659,38;651,89;647;195;114,44;30,1;72,39;67,91;86,74;77,74;48,18;61,85;55,89
133;"N";"Snowtrooper";655,41;657,37;649,32;657,68;194,91;93,57;24,63;62,66;68,46;80,04;75,66;39,92;58,53;84,36
134;"N";"Snowtrooper";649,75;658,94;637,42;647,08;195,15;104,38;27,41;66,14;69,51;84,33;85,98;52,71;64,53;13,73
135;"N";"Snowtrooper";647,37;663,05;657,03;654,66;195,08;91,84;24,13;65,82;71,15;85,27;92,19;46,42;51,43;87,6
136;"N";"Snowtrooper";643,61;667,34;644,54;659,6;195,24;96,57;25,33;66,91;68,34;84,03;80,26;54,32;56,54;85,01
137;"N";"Snowtrooper";651,93;663,76;651,4;657,84;194,97;90,36;23,77;70,21;68,61;85,5;89,46;48,5;53,67;64,69
138;"S";"Snowtrooper";651,18;660,61;650,83;644,42;195,03;91,69;24,11;79,72;69,96;79,66;75,53;36,05;47,14;70,03
139;"N";"Snowtrooper";646,02;650,25;646,6;661;195,07;102,18;26,85;68,17;70,43;82,85;86,05;54,01;48,11;83,59
140;"S";"Snowtrooper";648,51;660,5;647,55;652,07;195,12;89,11;23,41;87,22;67,56;84,56;88,7;45,35;52,81;47,9
141;"S";"Snowtrooper";640,9;657,29;656,76;650,22;194,94;93,13;24,51;75,92;69,57;84,37;88,31;48,31;56,69;82,84
142;"N";"Snowtrooper";646,18;658,7;656,84;647,34;195,16;96,02;25,21;70,79;71,02;81,32;93,19;46,17;45,21;94,93
143;"S";"Snowtrooper";647,85;656,79;650,71;640,44;194,93;97,24;25,59;81,93;69,91;86,85;81,88;54,96;50,51;61,44
144;"S";"Snowtrooper";653,3;663,61;652,16;648,92;194,79;110,43;29,1;78,44;71,6;82,13;85,38;40,73;68,9;62,4
145;"S";"Snowtrooper";644,27;663,37;649,1;646,77;194,89;85,5;22,51;70,95;67,26;86,18;93,05;44,94;53,43;39,48
146;"S";"Snowtrooper";650,82;650,17;647,96;645,69;194,9;115,1;30,3;72,85;70,61;85,56;75,49;53,82;68,49;84,68
147;"S";"Snowtrooper";645,93;657,6;652,91;648,77;194,79;94,03;24,78;78,19;71,87;81,19;77,69;53,54;59,97;20,8
148;"S";"Snowtrooper";648,14;669,32;648,71;650,8;194,94;98,76;25,99;78,02;70,92;85,03;80,74;63,06;63,94;78,39
149;"S";"Snowtrooper";649,04;655,77;655,19;652,81;195,03;107,26;28,2;79,5;69,36;80,91;92,99;45,06;48,28;68,53
150;"N";"Snowtrooper";647,91;661,51;655,3;658,75;194,97;100,05;26,32;58,24;70,4;84,72;83,12;56,71;58,35;88,36
151;"N";"Snowtrooper";645,91;663,24;646,62;649,62;194,94;89,7;23,6;62,13;71,31;83,39;75,37;56,58;66,6;97,77
152;"N";"Snowtrooper";646,03;662,19;654,81;647,74;195,24;88,88;23,32;61,42;71,37;79,86;91,03;54,64;49;60,39
153;"N";"Snowtrooper";641,38;656,84;644,33;639;194,77;89,28;23,53;72,43;69,8;83,45;87,44;51,67;50,88;51,04
154;"S";"Snowtrooper";650,04;666,7;652,13;636,66;194,7;105,34;27,79;82,86;70,37;84,8;77,92;53,76;48,29;81,79
155;"S";"Snowtrooper";656,77;663,98;648,95;645;195,04;105,9;27,84;83,38;68,15;80,4;88,87;48,93;50,48;95,08
156;"S";"Snowtrooper";647,61;669,09;651,08;648,74;194,84;102,37;26,97;70,53;67,84;85,91;76,06;58,03;50,84;31,89
157;"N";"Snowtrooper";650,78;654,26;652,22;642,3;195,16;104,17;27,35;62,01;67,74;81,61;85,12;47,57;59,71;81,2
158;"S";"Snowtrooper";661,92;652,21;647,27;654,82;195,12;84,61;22,22;78,74;67,53;80,9;91,64;59,95;58,18;10,88
159;"S";"Snowtrooper";653,14;651,72;649,06;647,82;194,93;101,98;26,84;78,59;68,07;80,57;92,17;62,52;53,87;48,35
160;"N";"Snowtrooper";649,7;665,33;650,76;654,22;194,96;94,26;24,8;59,06;68,19;86,34;85,74;64,55;52,44;49,45
161;"N";"Snowtrooper";642,33;659,39;650,32;652,74;194,88;100,35;26,42;60,99;71,68;86,45;85,63;45,63;61,55;33,94
162;"S";"Snowtrooper";652,94;663,76;652,77;649,88;194,83;93,54;24,64;79,72;68,71;85,77;77,07;62,56;50,28;67,81
163;"S";"Snowtrooper";654,18;663,57;651,16;648,21;194,96;96,41;25,36;84,08;70,24;79,91;77,86;54,74;57,12;95,13
164;"N";"Snowtrooper";648,17;658,05;644,12;646,5;194,91;101,19;26,64;73,55;69,82;80,32;82,02;52,85;64,49;55,55
165;"S";"Snowtrooper";654,11;659,54;650,38;649,08;195,17;108,34;28,44;75,97;71,89;79,49;78,57;38,21;46,28;45,94
166;"S";"Snowtrooper";646,46;651,87;644,1;642,75;195,09;83,06;21,82;88,81;68,52;80,57;92,36;48,59;52,97;87,19
167;"S";"Snowtrooper";652,14;647,21;653,11;643,59;195,02;87,56;23,02;80,12;67,12;80,75;76,66;46,26;65,51;21,23
168;"S";"Snowtrooper";647,16;652,08;641,97;646,97;195,21;96,51;25,33;73,51;70,91;84,02;77,48;62,29;53,73;63,82
169;"N";"Snowtrooper";663,94;657,23;646,53;651,07;195,21;97,85;25,68;73,2;71,67;81,05;90,28;48,46;51,22;74,08
170;"N";"Snowtrooper";645,49;652,81;650,87;644,79;194,76;91,85;24,21;67,27;67,03;80,96;91,76;44,29;56,36;62,97
171;"S";"Snowtrooper";641,96;661,77;645,69;655,91;195,02;100,53;26,43;81,97;71,59;85,74;93,15;53,74;52,44;55,75
172;"S";"Snowtrooper";658,18;661,34;658,08;649,82;194,85;104,98;27,65;81,04;70,84;81,28;75,53;50,94;53,06;6,49
173;"S";"Snowtrooper";645,83;664,58;644,73;653,05;195,07;100,62;26,44;73,51;70,73;81,34;81,43;53,18;60,83;97,3
174;"S";"Snowtrooper";648,96;658,7;652,69;650,92;195;100,19;26,35;67,74;67,5;85,54;78,12;31,61;42;52,77
175;"N";"Snowtrooper";646,33;668,91;642,62;649,19;195,24;107,88;28,3;69,66;67,6;80,82;88,75;40,26;55,64;53,77
176;"S";"Snowtrooper";646,5;660,55;642,15;645,29;195;92,8;24,4;76,21;67,63;79;89,23;61,53;51,33;66,79
177;"N";"Snowtrooper";651,39;666,06;651,49;645,59;194,99;105,21;27,67;59,54;67,27;84,29;76,25;43,68;62,14;19,56
178;"N";"Snowtrooper";649,17;656,23;651,71;646,05;195,12;94,08;24,71;67,42;67,35;83,35;80,88;50,04;66,49;95,4
179;"N";"Snowtrooper";642,6;672,36;648,32;655,86;195,05;89,42;23,5;58,97;69,53;79,88;76,61;39,32;50,77;72,24
180;"N";"Snowtrooper";660,19;658,74;644,87;649,01;195,16;103,77;27,25;58,18;71,64;84,35;75;44,69;53,32;27,32
181;"S";"Snowtrooper";652,78;659,8;643,51;654,03;195,1;98,17;25,79;81,95;70,27;85,98;76,95;62,16;50,84;35,43
182;"S";"Snowtrooper";651,55;662,69;648,81;645,37;194,9;97,03;25,54;85,24;68,33;83,39;86,35;46,14;53,72;38,59
183;"S";"Snowtrooper";651,05;653,82;637,03;649,27;195,19;102,22;26,83;78,93;70,75;82,3;93,7;54,11;56,48;22,85
184;"N";"Snowtrooper";646,07;658,63;653,74;644,09;194,99;95,4;25,09;60,48;69,33;79,68;86,17;37,77;58,82;90,93
185;"N";"Snowtrooper";652,09;662,18;653,81;648,58;194,86;94,64;24,92;71,31;69;83,57;85,06;58,53;48,63;24,38
186;"S";"Snowtrooper";643,17;660,89;653,87;658,64;194,9;104,42;27,49;86,35;70,51;85,12;80,27;43,81;58,67;56,4
187;"S";"Snowtrooper";657,24;662,88;658,12;651,14;195,01;110,35;29,02;85,27;71,67;84,04;91,1;49,9;60,78;14,52
188;"N";"Snowtrooper";648,4;658,91;657,75;646,47;194,94;83,81;22,05;65,2;69,13;84,16;89,03;53,28;63,46;95,27
189;"N";"Snowtrooper";649,42;655,24;649,05;651,98;195,03;96,18;25,29;64,37;69,42;84,26;85,2;53,65;61,21;96,38
190;"S";"Snowtrooper";644,65;658,75;654,73;654,09;195,06;105,95;27,85;82,76;68,08;79,72;78,63;46,34;54,53;75,16
191;"N";"Snowtrooper";644,2;666,61;642,12;649,59;194,87;101,94;26,84;68,33;67,68;80,84;81,49;46,9;54,83;95,73
192;"N";"Snowtrooper";644,42;665,39;649,91;653,3;195,22;97,73;25,64;66,19;69,45;86,88;80,34;43,52;58,25;23,75
193;"S";"Snowtrooper";647,14;658,81;640,55;654,7;195,02;89,94;23,65;80,87;68;84,21;84,33;54,42;53,39;41,21
194;"N";"Snowtrooper";652,36;660,29;655,39;650,31;195,19;94,8;24,88;66,23;71,18;84,29;87,57;46,74;50,48;34,67
195;"N";"Snowtrooper";650,35;661,94;651,6;649,31;195,04;92,43;24,3;58,69;68,76;81,94;85,22;55,12;52,65;71,8
196;"N";"Snowtrooper";648,94;659,01;657,48;654,37;194,98;91;23,94;61,57;71,11;79,63;81,07;37,56;55,93;5,92
197;"N";"Snowtrooper";652,83;661,36;647,34;657,2;195,05;109,28;28,72;67,32;67,78;79,95;93,27;50,56;56,52;64,69
198;"S";"Snowtrooper";650,74;659,14;657,86;652,84;195,24;102,54;26,9;78,32;68,17;86,9;82,45;50,93;50,56;26,31
